<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
18/08/21;00:00;1490.0000000;1496.2000000;1480.0000000;1482.0000000;181284
19/08/21;00:00;1481.0000000;1487.6000000;1466.0000000;1482.6000000;337864
20/08/21;00:00;1483.0000000;1483.0000000;1438.6000000;1441.6000000;466932
23/08/21;00:00;1444.8000000;1456.4000000;1413.8000000;1426.2000000;436935
24/08/21;00:00;1432.0000000;1438.8000000;1419.0000000;1436.4000000;288082
25/08/21;00:00;1437.0000000;1449.4000000;1426.4000000;1436.0000000;369496
26/08/21;00:00;1435.0000000;1442.6000000;1421.0000000;1432.2000000;208221
27/08/21;00:00;1432.2000000;1436.0000000;1420.0000000;1430.2000000;219027
30/08/21;00:00;1430.2000000;1443.8000000;1425.2000000;1436.0000000;192590
31/08/21;00:00;1440.0000000;1486.8000000;1438.4000000;1484.4000000;698413
01/09/21;00:00;1488.0000000;1521.2000000;1469.0000000;1519.0000000;602714
02/09/21;00:00;1514.8000000;1545.2000000;1505.6000000;1535.2000000;451711
03/09/21;00:00;1542.2000000;1544.0000000;1506.0000000;1541.0000000;274721
06/09/21;00:00;1541.0000000;1561.0000000;1531.2000000;1541.2000000;302195
07/09/21;00:00;1542.0000000;1547.6000000;1512.0000000;1536.0000000;296865
08/09/21;00:00;1539.2000000;1542.4000000;1522.6000000;1529.8000000;230097
09/09/21;00:00;1525.0000000;1530.2000000;1512.2000000;1514.8000000;202724
10/09/21;00:00;1518.0000000;1534.8000000;1515.4000000;1530.8000000;199093
13/09/21;00:00;1533.2000000;1592.4000000;1530.2000000;1586.4000000;613423
14/09/21;00:00;1590.0000000;1594.8000000;1564.8000000;1571.2000000;457639
15/09/21;00:00;1577.6000000;1586.0000000;1553.4000000;1557.2000000;229283
16/09/21;00:00;1557.4000000;1572.0000000;1540.2000000;1559.2000000;359493
17/09/21;00:00;1566.6000000;1582.8000000;1558.2000000;1570.4000000;340402
20/09/21;00:00;1570.2000000;1576.2000000;1515.0000000;1521.4000000;411345
21/09/21;00:00;1527.6000000;1546.8000000;1516.2000000;1535.0000000;250749
22/09/21;00:00;1540.0000000;1540.2000000;1521.4000000;1537.8000000;202833
23/09/21;00:00;1541.8000000;1544.4000000;1501.2000000;1515.0000000;356138
24/09/21;00:00;1513.0000000;1530.0000000;1508.0000000;1525.4000000;210060
27/09/21;00:00;1525.6000000;1530.2000000;1480.8000000;1487.0000000;389023
28/09/21;00:00;1489.8000000;1516.2000000;1477.8000000;1498.2000000;303863
29/09/21;00:00;1500.0000000;1503.2000000;1488.0000000;1497.2000000;133296
30/09/21;00:00;1503.2000000;1506.2000000;1481.0000000;1488.0000000;253361
01/10/21;00:00;1483.2000000;1487.6000000;1474.0000000;1481.8000000;165429
04/10/21;00:00;1484.0000000;1487.6000000;1448.2000000;1461.8000000;269232
05/10/21;00:00;1457.0000000;1478.4000000;1437.6000000;1466.0000000;298879
06/10/21;00:00;1466.0000000;1470.4000000;1431.2000000;1448.2000000;332168
07/10/21;00:00;1458.2000000;1495.0000000;1442.8000000;1495.0000000;351315
08/10/21;00:00;1495.2000000;1498.4000000;1460.0000000;1465.0000000;268731
11/10/21;00:00;1468.6000000;1470.2000000;1438.0000000;1456.6000000;308805
12/10/21;00:00;1456.6000000;1489.2000000;1447.2000000;1468.0000000;440577
13/10/21;00:00;1462.8000000;1478.4000000;1452.6000000;1473.2000000;215627
14/10/21;00:00;1476.8000000;1486.8000000;1470.0000000;1472.8000000;252264
15/10/21;00:00;1468.2000000;1499.6000000;1468.2000000;1495.0000000;281633
18/10/21;00:00;1499.0000000;1571.0000000;1491.0000000;1570.6000000;780974
19/10/21;00:00;1571.6000000;1591.0000000;1563.4000000;1573.8000000;488968
20/10/21;00:00;1572.0000000;1619.4000000;1572.0000000;1614.8000000;536853
21/10/21;00:00;1609.0000000;1618.6000000;1586.0000000;1596.2000000;367976
22/10/21;00:00;1602.6000000;1603.0000000;1538.0000000;1546.0000000;572028
25/10/21;00:00;1545.0000000;1555.8000000;1522.0000000;1547.0000000;389985
26/10/21;00:00;1557.0000000;1557.2000000;1509.0000000;1515.4000000;292053
27/10/21;00:00;1515.0000000;1546.2000000;1502.8000000;1540.2000000;382913
28/10/21;00:00;1539.0000000;1545.2000000;1484.6000000;1504.2000000;708834
29/10/21;00:00;1504.2000000;1509.0000000;1443.6000000;1461.2000000;685916
01/11/21;00:00;1473.0000000;1473.0000000;1439.8000000;1463.4000000;513701
02/11/21;00:00;1465.0000000;1469.0000000;1434.0000000;1441.4000000;404439
03/11/21;00:00;1442.4000000;1457.4000000;1437.2000000;1449.8000000;234928
05/11/21;00:00;1452.0000000;1453.4000000;1427.0000000;1438.0000000;222612
08/11/21;00:00;1442.0000000;1457.0000000;1426.2000000;1433.8000000;345328
09/11/21;00:00;1428.8000000;1435.6000000;1400.6000000;1405.0000000;565948
10/11/21;00:00;1409.0000000;1415.6000000;1371.6000000;1379.4000000;598352
11/11/21;00:00;1389.4000000;1397.2000000;1371.2000000;1391.0000000;385666
12/11/21;00:00;1395.0000000;1413.8000000;1378.0000000;1403.0000000;581613
15/11/21;00:00;1405.0000000;1414.0000000;1384.0000000;1388.8000000;314129
16/11/21;00:00;1393.4000000;1401.0000000;1378.0000000;1389.4000000;319555
17/11/21;00:00;1385.0000000;1400.0000000;1380.2000000;1380.8000000;253253
18/11/21;00:00;1380.8000000;1398.8000000;1376.4000000;1385.0000000;280243
19/11/21;00:00;1390.8000000;1395.0000000;1320.0000000;1325.8000000;1016709
22/11/21;00:00;1329.0000000;1339.2000000;1259.2000000;1280.0000000;1101739
23/11/21;00:00;1280.0000000;1296.0000000;1256.4000000;1295.0000000;765551
24/11/21;00:00;1305.0000000;1311.8000000;1266.8000000;1290.2000000;442730
25/11/21;00:00;1291.6000000;1301.6000000;1268.2000000;1279.0000000;326323
26/11/21;00:00;1268.0000000;1268.0000000;1203.0000000;1206.8000000;775285
29/11/21;00:00;1219.0000000;1265.4000000;1212.6000000;1244.8000000;661610
30/11/21;00:00;1210.0000000;1267.4000000;1210.0000000;1247.0000000;892553
01/12/21;00:00;1257.0000000;1300.0000000;1254.4000000;1264.8000000;570964
02/12/21;00:00;1270.4000000;1378.6000000;1260.0000000;1348.2000000;1872952
03/12/21;00:00;1346.8000000;1347.2000000;1212.4000000;1240.8000000;1832216
06/12/21;00:00;1245.4000000;1272.0000000;1155.0000000;1167.8000000;1203592
07/12/21;00:00;1165.0000000;1173.2000000;1088.2000000;1111.0000000;2139075
08/12/21;00:00;1121.8000000;1129.4000000;1016.4000000;1041.4000000;2375378
09/12/21;00:00;1042.8000000;1042.8000000;1001.2000000;1015.0000000;1805462
10/12/21;00:00;1018.4000000;1053.8000000;983.0000000;986.6000000;1406697
13/12/21;00:00;987.0000000;993.0000000;901.0000000;905.8000000;3177325
14/12/21;00:00;914.4000000;950.0000000;842.8000000;897.4000000;1784849
15/12/21;00:00;900.0000000;973.8000000;883.6000000;961.0000000;2233053
16/12/21;00:00;966.0000000;1019.0000000;951.4000000;982.8000000;2446215
17/12/21;00:00;983.4000000;1002.2000000;940.0000000;962.0000000;1109830
20/12/21;00:00;957.2000000;957.8000000;891.0000000;912.0000000;1132272
21/12/21;00:00;915.2000000;948.0000000;915.0000000;924.6000000;766397
22/12/21;00:00;925.0000000;929.6000000;895.0000000;912.2000000;917610
23/12/21;00:00;917.2000000;918.0000000;872.6000000;880.2000000;1592364
24/12/21;00:00;878.4000000;884.2000000;850.0000000;877.0000000;1703934
27/12/21;00:00;877.2000000;899.0000000;877.0000000;884.8000000;1136067
28/12/21;00:00;887.8000000;894.2000000;870.0000000;876.6000000;1012474
29/12/21;00:00;876.2000000;883.0000000;860.0000000;865.4000000;674672
30/12/21;00:00;865.4000000;874.0000000;859.4000000;872.4000000;390664
